Category,Sub_Category,Revenue,Orders,Avg_Sales
Technology,Phones,327782.448,876,374.1808767123287
Furniture,Chairs,322822.73099999997,607,531.8331647446457
Office Supplies,Storage,219343.392,832,263.6338846153846
Furniture,Tables,202810.628,314,645.8937197452229
Office Supplies,Binders,200028.785,1492,134.0675502680965
Technology,Machines,189238.631,115,1645.5533130434783
Technology,Accessories,164186.7,756,217.17817460317463
Technology,Copiers,146248.094,66,2215.8802121212125
Furniture,Bookcases,113813.1987,226,503.5982243362832
Office Supplies,Appliances,104618.403,459,227.92680392156865
Furniture,Furnishings,89212.018,931,95.82386466165413
Office Supplies,Paper,76828.304,1338,57.42025710014948
Office Supplies,Supplies,46420.308,184,252.28428260869563
Office Supplies,Art,26705.41,785,34.019630573248406
Office Supplies,Envelopes,16128.046,248,65.03244354838709
Office Supplies,Labels,12347.726,357,34.587467787114846
Office Supplies,Fasteners,3001.96,214,14.02785046728972
